,,,,12 Team,,,14 Team,10 Team,,AAV,Health Report,,
Rank,Name,Team,Pos,Fantrax,MFL,NFFC,MFL,MFL,NFFC,MFL,Status,Injury,fp_PPR
143,Gabriel Davis,BUF,WR,177.17,-,151.19,-,-,143.02,$3.12 ,,,
144,James White,NE,RB,152.89,-,152.23,-,-,161.95,$3.83 ,IR,Hip,
145,Hunter Henry,NE,TE,150.01,-,152.37,-,-,152.36,$3.98 ,,,
146,Cole Beasley,BUF,WR,133.89,34.2,155.46,101.2,-,165.23,$2.12 ,,,
147,Tua Tagovailoa,MIA,QB,154.57,-,156.75,-,-,162.55,$1.60 ,,,
148,Rashaad Penny,SEA,RB,162,-,159.59,-,-,169.16,$4.99 ,,,
149,Giovani Bernard,TB,RB,169.28,-,160.49,-,-,152.04,$4.23 ,,,
150,Chuba Hubbard,CAR,RB,171.87,-,160.52,-,-,167.17,$2.48 ,,,
151,Terrace Marshall,CAR,WR,166.35,-,160.55,-,-,150.46,$2.37 ,IR,Foot,
152,Irv Smith,MIN,TE,999,-,161.01,-,-,151.81,$2.18 ,IR,Knee - Meniscus,
153,Sterling Shepard,NYG,WR,158.56,-,161.52,126.8,-,167.18,$1.88 ,IR,Achilles,
154,Damien Williams,CHI,RB,178.77,-,164.45,-,-,177.92,$1.53 ,,,
155,Jakobi Meyers,NE,WR,166.29,-,164.51,144,-,155.98,$2.22 ,,,
156,Ben Roethlisberger,FA,QB,170.35,-,165,-,-,157.95,$3.61 ,,,
157,T.Y. Hilton,IND,WR,186.01,-,165.07,-,-,169.32,$4.15 ,,,
158,Gerald Everett,SEA,TE,180.62,-,165.34,-,-,156.1,$1.45 ,,,
159,Cole Kmet,CHI,TE,187.55,-,165.57,-,-,166.66,$1.15 ,,,
160,Nelson Agholor,NE,WR,163.27,-,167.32,137.2,-,177.45,$3.74 ,,,
161,Rashod Bateman,BAL,WR,169.24,-,171.19,-,-,181.11,$2.59 ,,,
162,Rhamondre Stevenson,NE,RB,181.33,-,171.62,-,-,172.47,$2.07 ,,,
163,Tevin Coleman,NYJ,RB,160.73,-,176.03,-,-,179.85,$4.00 ,,,
164,Ryan Fitzpatrick,WAS,QB,163.29,-,176.14,-,-,161.43,$5.17 ,IR,Hip,
165,Carson Wentz,IND,QB,225.33,-,176.3,-,-,168.82,$4.30 ,,,
166,Emmanuel Sanders,BUF,WR,172.81,-,176.76,-,-,177.04,$3.43 ,,,
167,Marquez Callaway,NO,WR,148.14,-,177.24,122.2,-,139.15,$4.08 ,,,
168,Zach Ertz,ARI,TE,173.83,-,177.54,-,-,170.12,$2.71 ,,,
169,Adam Trautman,NO,TE,170.77,-,177.69,-,-,173.92,$1.17 ,,,
170,Parris Campbell,IND,WR,192.85,-,178.8,-,-,184.29,$2.13 ,,,
171,Daniel Jones,NYG,QB,177.31,-,180.32,-,-,186.84,$1.61 ,IR,Neck,
172,Derek Carr,LV,QB,176.01,-,181.4,120,-,181.77,$3.93 ,,,
173,Tre'Quan Smith,NO,WR,170.79,-,182.72,-,-,177.49,$1.20 ,,,
174,Darrel Williams,KC,RB,196.41,-,184.95,-,-,187.52,$1.11 ,,,
175,Jameis Winston,NO,QB,186.44,-,186,103.4,-,183.25,$2.69 ,IR,Knee - ACL + MCL,
176,Jamison Crowder,NYJ,WR,160.67,-,186.42,-,-,204.42,$2.12 ,Ques,Calf,
177,Bryan Edwards,LV,WR,176.39,-,188.15,-,-,177.98,$0.77 ,,,
178,Blake Jarwin,DAL,TE,196.53,-,188.48,-,-,187.05,$0.76 ,,,
179,Austin Hooper,CLE,TE,186.46,-,189.58,-,-,192.42,$2.05 ,,,
180,Cam Akers,LAR,RB,999,-,189.6,-,-,163.08,$6.68 ,,,
181,Sam Darnold,CAR,QB,183.23,-,190.7,-,-,190.49,$5.94 ,,,
182,Sony Michel,LAR,RB,159.63,-,192.82,-,-,159.71,$4.46 ,,,
183,Zach Wilson,NYJ,QB,178.62,-,193.07,-,-,197.16,$5.55 ,,,
184,Jared Cook,LAC,TE,174.67,-,193.12,-,-,178.65,$3.40 ,,,
